id,title,slug,brand,confidence,categoryPath,sku,importFile,priceUae,priceKsa,compareAtPriceUae,compareAtPriceKsa,processor,ram,storage,condition,imageCount,blockers,notes
prod_import_xlsx_1776538003641_41,HP Spectre x360 13 Laptop,hp-spectre-x360-13,HP,low,electronics/laptops,EX-DRAFT-HP-SPECTRE-X360-13,exshopi_full_350_products_with_specs.xlsx,2400,,2400,,Core i7-1165G7,16GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_42,HP Spectre x360 14 Laptop,hp-spectre-x360-14,HP,low,electronics/laptops,EX-DRAFT-HP-SPECTRE-X360-14,exshopi_full_350_products_with_specs.xlsx,2400,,2400,,Core i7-1165G7,16GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_43,HP Victus 15 Laptop,hp-victus-15,HP,low,electronics/laptops,EX-DRAFT-HP-VICTUS-15,exshopi_full_350_products_with_specs.xlsx,2600,,2600,,Core i5-12450H,16GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_44,HP Victus 16 Laptop,hp-victus-16,HP,low,electronics/laptops,EX-DRAFT-HP-VICTUS-16,exshopi_full_350_products_with_specs.xlsx,2600,,2600,,Core i5-12450H,16GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_45,HP Omen 15 Laptop,hp-omen-15,HP,low,electronics/laptops,EX-DRAFT-HP-OMEN-15,exshopi_full_350_products_with_specs.xlsx,3400,,3400,,Core i7-12700H,16GB,1TB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_46,HP Omen 16 Laptop,hp-omen-16,HP,low,electronics/laptops,EX-DRAFT-HP-OMEN-16,exshopi_full_350_products_with_specs.xlsx,3400,,3400,,Core i7-12700H,16GB,1TB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_47,HP Omen 17 Laptop,hp-omen-17,HP,low,electronics/laptops,EX-DRAFT-HP-OMEN-17,exshopi_full_350_products_with_specs.xlsx,3400,,3400,,Core i7-12700H,16GB,1TB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_48,HP EliteBook 640 G10 Laptop,hp-elitebook-640-g10,HP,low,electronics/laptops,EX-DRAFT-HP-ELITEBOOK-640-G10,exshopi_full_350_products_with_specs.xlsx,1900,,1900,,Core i5-1335U,16GB,512GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_49,HP EliteBook 840 G9 Laptop,hp-elitebook-840-g9,HP,low,electronics/laptops,EX-DRAFT-HP-ELITEBOOK-840-G9,exshopi_full_350_products_with_specs.xlsx,1650,,1650,,Core i5-1235U,16GB,512GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_50,HP 15 Ryzen 5 Laptop,hp-15-ryzen-5,HP,low,electronics/laptops,EX-DRAFT-HP-15-RYZEN-5,exshopi_full_350_products_with_specs.xlsx,1550,,1550,,Ryzen 5 7520U,8GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_51,Dell Latitude 7280 Refurbished Laptop – Core i5-7300U | 8GB | 256GB | 12.5-inch | Windows 10 Pro,dell-latitude-7280,Dell,low,electronics/laptops,EX-DRAFT-DELL-LATITUDE-7280,exshopi_full_350_products_with_specs.xlsx,760,,760,,Core i5-7300U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_52,Dell Latitude 7290 Refurbished Laptop – Core i5-7300U | 8GB | 256GB | 12.5-inch | Windows 10 Pro,dell-latitude-7290,Dell,low,electronics/laptops,EX-DRAFT-DELL-LATITUDE-7290,exshopi_full_350_products_with_specs.xlsx,760,,760,,Core i5-7300U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_53,Dell Latitude 7300 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 14-inch | Windows 11 Pro,dell-latitude-7300,Dell,low,electronics/laptops,EX-DRAFT-DELL-LATITUDE-7300,exshopi_full_350_products_with_specs.xlsx,880,,880,,Core i5-8365U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_54,Dell Latitude 7390 Refurbished Laptop – Core i5-8365U | 8GB | 256GB | 14-inch | Windows 11 Pro,dell-latitude-7390,Dell,low,electronics/laptops,EX-DRAFT-DELL-LATITUDE-7390,exshopi_full_350_products_with_specs.xlsx,880,,880,,Core i5-8365U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields,imported_from:exshopi_full_350_products_with_specs.xlsx
